Date,Flow
1/1/1970,3.826
1/2/1970,19.31
1/3/1970,134.3
1/4/1970,166.3
1/5/1970,38.05
1/6/1970,25.86
1/7/1970,28.92
1/8/1970,25.13
1/9/1970,16.79
1/10/1970,14.05
1/11/1970,13.11
1/12/1970,12.86
1/13/1970,11.89
1/14/1970,11.34
1/15/1970,11.07
1/16/1970,10.81
1/17/1970,10.7
1/18/1970,15.21
1/19/1970,33.02
1/20/1970,27.48
1/21/1970,23.66
1/22/1970,19.91
1/23/1970,17.48
1/24/1970,16.05
1/25/1970,15.19
1/26/1970,19.67
1/27/1970,167.2
1/28/1970,31.73
1/29/1970,25.72
1/30/1970,49.94
1/31/1970,41.19
2/1/1970,71.96
2/2/1970,348.3
2/3/1970,73.19
2/4/1970,42.74
2/5/1970,33.53
2/6/1970,28.53
2/7/1970,65.3
2/8/1970,28.14
2/9/1970,37.19
2/10/1970,24.18
2/11/1970,23.17
2/12/1970,22.45
2/13/1970,22.92
2/14/1970,24.03
2/15/1970,22.87
2/16/1970,37.55
2/17/1970,27.29
2/18/1970,89.75
2/19/1970,83.2
2/20/1970,57.77
2/21/1970,44
2/22/1970,41.53
2/23/1970,37.27
2/24/1970,39.54
2/25/1970,202.8
2/26/1970,84.55
2/27/1970,117.9
2/28/1970,89.59
3/1/1970,61.06
3/2/1970,52.24
3/3/1970,47.04
3/4/1970,43.93
3/5/1970,56.71
3/6/1970,47.41
3/7/1970,44.26
3/8/1970,42.25
3/9/1970,55.11
3/10/1970,61.75
3/11/1970,53.04
3/12/1970,48.66
3/13/1970,57.92
3/14/1970,45.68
3/15/1970,43.72
3/16/1970,42.37
3/17/1970,41.37
3/18/1970,50.62
3/19/1970,109.7
3/20/1970,80.21
3/21/1970,52.28
3/22/1970,46.79
3/23/1970,43.73
3/24/1970,41.59
3/25/1970,40.02
3/26/1970,38.99
3/27/1970,38.12
3/28/1970,37.36
3/29/1970,36.67
3/30/1970,41.98
3/31/1970,49.48
4/1/1970,42.67
4/2/1970,39.48
4/3/1970,37.45
4/4/1970,36.09
4/5/1970,34.94
4/6/1970,34.08
4/7/1970,33.29
4/8/1970,32.65
4/9/1970,31.91
4/10/1970,31.3
4/11/1970,30.74
4/12/1970,30.07
4/13/1970,37.24
4/14/1970,33.54
4/15/1970,56.4
4/16/1970,94.51
4/17/1970,49.63
4/18/1970,41.6
4/19/1970,36.8
4/20/1970,33.81
4/21/1970,41.27
4/22/1970,35.55
4/23/1970,32.64
4/24/1970,30.69
4/25/1970,36.38
4/26/1970,123.3
4/27/1970,77.21
4/28/1970,50.66
4/29/1970,60.57
4/30/1970,280.5
5/1/1970,97.24
5/2/1970,66.53
5/3/1970,53.9
5/4/1970,46.69
5/5/1970,42.26
5/6/1970,39.4
5/7/1970,37.43
5/8/1970,38.29
5/9/1970,36.29
5/10/1970,35.11
5/11/1970,40.18
5/12/1970,39.12
5/13/1970,42
5/14/1970,46.82
5/15/1970,52.45
5/16/1970,47.66
5/17/1970,41.29
5/18/1970,44.89
5/19/1970,81.22
5/20/1970,56.05
5/21/1970,46.58
5/22/1970,41.13
5/23/1970,39.71
5/24/1970,36.77
5/25/1970,34.62
5/26/1970,33.31
5/27/1970,32.2
5/28/1970,164.2
5/29/1970,391.5
5/30/1970,313.3
5/31/1970,125.1
6/1/1970,102
6/2/1970,84.13
6/3/1970,67.1
6/4/1970,57.48
6/5/1970,51.59
6/6/1970,47.85
6/7/1970,45.36
6/8/1970,43.6
6/9/1970,42.37
6/10/1970,46.55
6/11/1970,53.98
6/12/1970,75.83
6/13/1970,73.76
6/14/1970,88.37
6/15/1970,61.61
6/16/1970,53.36
6/17/1970,48.5
6/18/1970,45.4
6/19/1970,43.45
6/20/1970,42.05
6/21/1970,40.76
6/22/1970,39.82
6/23/1970,38.98
6/24/1970,44.84
6/25/1970,41.45
6/26/1970,39.23
6/27/1970,37.74
6/28/1970,36.57
6/29/1970,38.09
6/30/1970,42.48
7/1/1970,40.28
7/2/1970,37.21
7/3/1970,35.21
7/4/1970,33.71
7/5/1970,32.55
7/6/1970,31.5
7/7/1970,30.52
7/8/1970,29.7
7/9/1970,28.98
7/10/1970,34.71
7/11/1970,39.19
7/12/1970,33.71
7/13/1970,30.46
7/14/1970,28.44
7/15/1970,27.04
7/16/1970,25.91
7/17/1970,30.31
7/18/1970,30.66
7/19/1970,31.2
7/20/1970,27.62
7/21/1970,25.39
7/22/1970,23.92
7/23/1970,22.71
7/24/1970,21.51
7/25/1970,20.94
7/26/1970,20.17
7/27/1970,25.71
7/28/1970,39.79
7/29/1970,30.32
7/30/1970,25.5
7/31/1970,28.36
8/1/1970,23.95
8/2/1970,21.15
8/3/1970,25.38
8/4/1970,24.27
8/5/1970,20.84
8/6/1970,18.6
8/7/1970,16.85
8/8/1970,15.61
8/9/1970,18.18
8/10/1970,15.39
8/11/1970,13.02
8/12/1970,15.49
8/13/1970,12.92
8/14/1970,17.41
8/15/1970,20.45
8/16/1970,29.38
8/17/1970,27.18
8/18/1970,19.27
8/19/1970,14.86
8/20/1970,12.28
8/21/1970,10.47
8/22/1970,9.391
8/23/1970,8.527
8/24/1970,7.763
8/25/1970,7.292
8/26/1970,6.897
8/27/1970,6.501
8/28/1970,6.101
8/29/1970,5.712
8/30/1970,5.449
8/31/1970,5.183
9/1/1970,4.993
9/2/1970,4.773
9/3/1970,8.313
9/4/1970,6.742
9/5/1970,5.706
9/6/1970,5.075
9/7/1970,4.535
9/8/1970,4.244
9/9/1970,3.936
9/10/1970,3.473
9/11/1970,3.269
9/12/1970,3.083
9/13/1970,3.082
9/14/1970,2.852
9/15/1970,2.528
9/16/1970,4.046
9/17/1970,3.27
9/18/1970,2.731
9/19/1970,2.369
9/20/1970,2.225
9/21/1970,1.894
9/22/1970,9.414
9/23/1970,30.89
9/24/1970,25
9/25/1970,16.28
9/26/1970,11.29
9/27/1970,8.349
9/28/1970,6.599
9/29/1970,5.57
9/30/1970,4.772
10/1/1970,4.334
10/2/1970,3.923
10/3/1970,3.741
10/4/1970,3.533
10/5/1970,6.378
10/6/1970,76.94
10/7/1970,26.7
10/8/1970,17.93
10/9/1970,12.92
10/10/1970,10.06
10/11/1970,8.351
10/12/1970,7.288
10/13/1970,6.635
10/14/1970,6.168
10/15/1970,5.802
10/16/1970,31.4
10/17/1970,99.59
10/18/1970,54.74
10/19/1970,51.89
10/20/1970,31.26
10/21/1970,23.34
10/22/1970,18.77
10/23/1970,16.03
10/24/1970,14.4
10/25/1970,13.38
10/26/1970,71.63
10/27/1970,28.29
10/28/1970,22.2
10/29/1970,18.73
10/30/1970,16.62
10/31/1970,15.25
11/1/1970,14.44
11/2/1970,13.77
11/3/1970,13.31
11/4/1970,12.96
11/5/1970,12.67
11/6/1970,12.41
11/7/1970,12.23
11/8/1970,22.45
11/9/1970,69.76
11/10/1970,63.21
11/11/1970,117.1
11/12/1970,45.12
11/13/1970,48.52
11/14/1970,65.58
11/15/1970,39.81
11/16/1970,32.46
11/17/1970,132.3
11/18/1970,46.54
11/19/1970,242.9
11/20/1970,71.6
11/21/1970,52.26
11/22/1970,42.94
11/23/1970,37.49
11/24/1970,34.14
11/25/1970,32.11
11/26/1970,30.73
11/27/1970,29.84
11/28/1970,37.51
11/29/1970,76
11/30/1970,304.9
12/1/1970,76.58
12/2/1970,58
12/3/1970,54.16
12/4/1970,82.09
12/5/1970,229.6
12/6/1970,84.34
12/7/1970,71.5
12/8/1970,68.08
12/9/1970,62.75
12/10/1970,63.61
12/11/1970,63.04
12/12/1970,170.3
12/13/1970,73.67
12/14/1970,62.9
12/15/1970,57.03
12/16/1970,53.55
12/17/1970,51.57
12/18/1970,51.36
12/19/1970,83.24
12/20/1970,70.73
12/21/1970,62.41
12/22/1970,57.44
12/23/1970,61.6
12/24/1970,84.41
12/25/1970,71.15
12/26/1970,66.71
12/27/1970,64.78
12/28/1970,62.24
12/29/1970,58.08
12/30/1970,55.52
12/31/1970,53.8
1/1/1971,61.91
1/2/1971,243.4
1/3/1971,89.54
1/4/1971,74.35
1/5/1971,66.37
1/6/1971,64.02
1/7/1971,59.88
1/8/1971,57.75
1/9/1971,55.78
1/10/1971,54.45
1/11/1971,53.71
1/12/1971,53.46
1/13/1971,57.76
1/14/1971,62.51
1/15/1971,58.18
1/16/1971,55.31
1/17/1971,82.52
1/18/1971,88.98
1/19/1971,202
1/20/1971,88.05
1/21/1971,117.2
1/22/1971,85.32
1/23/1971,97.16
1/24/1971,91.98
1/25/1971,75.5
1/26/1971,69.14
1/27/1971,70.99
1/28/1971,63.04
1/29/1971,73.31
1/30/1971,93.57
1/31/1971,83.22
2/1/1971,69.49
2/2/1971,64.9
2/3/1971,62.03
2/4/1971,63.45
2/5/1971,81.65
2/6/1971,65.75
2/7/1971,62.38
2/8/1971,60.15
2/9/1971,58.55
2/10/1971,57.32
2/11/1971,56.29
2/12/1971,55.37
2/13/1971,59.03
2/14/1971,55.24
2/15/1971,223.5
2/16/1971,131.4
2/17/1971,63.94
2/18/1971,63.1
2/19/1971,679.8
2/20/1971,232.3
2/21/1971,85.24
2/22/1971,142.7
2/23/1971,76.92
2/24/1971,107.6
2/25/1971,696.2
2/26/1971,271.4
2/27/1971,223.9
2/28/1971,99.54
3/1/1971,143.7
3/2/1971,90.1
3/3/1971,78.59
3/4/1971,71.14
3/5/1971,66.61
3/6/1971,63.66
3/7/1971,61.7
3/8/1971,60.28
3/9/1971,59.18
3/10/1971,58.26
3/11/1971,66.83
3/12/1971,71.12
3/13/1971,79.34
3/14/1971,79.59
3/15/1971,73.52
3/16/1971,67.09
3/17/1971,69.13
3/18/1971,149.1
3/19/1971,89.67
3/20/1971,99.72
3/21/1971,104.4
3/22/1971,81.08
3/23/1971,73.16
3/24/1971,72.9
3/25/1971,71.65
3/26/1971,71.88
3/27/1971,89.47
3/28/1971,78.1
3/29/1971,71.41
3/30/1971,73.78
3/31/1971,217.5
4/1/1971,97.71
4/2/1971,255.8
4/3/1971,103
4/4/1971,94.48
4/5/1971,92.83
4/6/1971,81.58
4/7/1971,75.29
4/8/1971,71.24
4/9/1971,68.62
4/10/1971,79.39
4/11/1971,71.42
4/12/1971,96.08
4/13/1971,79.16
4/14/1971,72.59
4/15/1971,183.6
4/16/1971,112.2
4/17/1971,87.58
4/18/1971,80.99
4/19/1971,104.6
4/20/1971,80.93
4/21/1971,74.14
4/22/1971,72.69
4/23/1971,79.12
4/24/1971,71.55
4/25/1971,67.64
4/26/1971,65
4/27/1971,63.13
4/28/1971,61.6
4/29/1971,60.3
4/30/1971,64.32
5/1/1971,61.02
5/2/1971,58.84
5/3/1971,57.22
5/4/1971,61.77
5/5/1971,68.95
5/6/1971,87.4
5/7/1971,119
5/8/1971,77.05
5/9/1971,67.41
5/10/1971,61.67
5/11/1971,58.06
5/12/1971,91.82
5/13/1971,486.5
5/14/1971,110.4
5/15/1971,85.64
5/16/1971,73.37
5/17/1971,65.89
5/18/1971,60.99
5/19/1971,57.7
5/20/1971,55.3
5/21/1971,53.47
5/22/1971,52.01
5/23/1971,50.75
5/24/1971,49.65
5/25/1971,48.6
5/26/1971,47.61
5/27/1971,46.72
5/28/1971,45.79
5/29/1971,45.07
5/30/1971,44.06
5/31/1971,43.28
6/1/1971,42.52
6/2/1971,41.6
6/3/1971,40.7
6/4/1971,52.46
6/5/1971,46.18
6/6/1971,74.91
6/7/1971,54.26
6/8/1971,47.36
6/9/1971,43.06
6/10/1971,40.25
6/11/1971,38.17
6/12/1971,36.77
6/13/1971,35.51
6/14/1971,34.39
6/15/1971,33.35
6/16/1971,32.42
6/17/1971,31.48
6/18/1971,30.77
6/19/1971,29.94
6/20/1971,29.14
6/21/1971,28.3
6/22/1971,27.6
6/23/1971,26.89
6/24/1971,26.17
6/25/1971,25.57
6/26/1971,36.98
6/27/1971,31.3
6/28/1971,27.99
6/29/1971,25.69
6/30/1971,24.26
7/1/1971,39.47
7/2/1971,41.97
7/3/1971,44.06
7/4/1971,50.71
7/5/1971,36.3
7/6/1971,30.56
7/7/1971,26.76
7/8/1971,24.16
7/9/1971,22.56
7/10/1971,21.28
7/11/1971,21.8
7/12/1971,20.55
7/13/1971,19.4
7/14/1971,18.45
7/15/1971,17.56
7/16/1971,16.91
7/17/1971,16.1
7/18/1971,22.76
7/19/1971,25.06
7/20/1971,25.53
7/21/1971,20.01
7/22/1971,16.6
7/23/1971,14.43
7/24/1971,12.82
7/25/1971,11.63
7/26/1971,10.13
7/27/1971,8.762
7/28/1971,8.043
7/29/1971,7.388
7/30/1971,6.814
7/31/1971,6.244
8/1/1971,5.75
8/2/1971,5.302
8/3/1971,4.865
8/4/1971,4.406
8/5/1971,4.32
8/6/1971,4.028
8/7/1971,3.95
8/8/1971,3.678
8/9/1971,3.679
8/10/1971,11.03
8/11/1971,7.681
8/12/1971,6.086
8/13/1971,5.035
8/14/1971,4.281
8/15/1971,3.611
8/16/1971,3.491
8/17/1971,5.455
8/18/1971,6.531
8/19/1971,14.49
8/20/1971,9.458
8/21/1971,6.903
8/22/1971,14.33
8/23/1971,9.763
8/24/1971,7.139
8/25/1971,5.478
8/26/1971,4.486
8/27/1971,3.743
8/28/1971,3.346
8/29/1971,3.045
8/30/1971,3.03
8/31/1971,2.896
9/1/1971,2.755
9/2/1971,2.507
9/3/1971,2.254
9/4/1971,2.086
9/5/1971,2.085
9/6/1971,1.859
9/7/1971,1.706
9/8/1971,1.788
9/9/1971,1.507
9/10/1971,1.481
9/11/1971,1.545
9/12/1971,1.461
9/13/1971,1.473
9/14/1971,1.412
9/15/1971,1.296
9/16/1971,1.023
9/17/1971,1.03
9/18/1971,0.959
9/19/1971,1.106
9/20/1971,1.007
9/21/1971,2.845
9/22/1971,7.695
9/23/1971,8.648
9/24/1971,5.682
9/25/1971,4.023
9/26/1971,3.054
9/27/1971,6.258
9/28/1971,28.43
9/29/1971,36.12
9/30/1971,19.3
10/1/1971,12.93
10/2/1971,9.367
10/3/1971,7.245
10/4/1971,5.929
10/5/1971,5.123
10/6/1971,4.508
10/7/1971,4.308
10/8/1971,67.97
10/9/1971,67.14
10/10/1971,29.26
10/11/1971,20.46
10/12/1971,28
10/13/1971,33.05
10/14/1971,22.04
10/15/1971,44.1
10/16/1971,24.58
10/17/1971,19.28
10/18/1971,49.84
10/19/1971,25.84
10/20/1971,20.55
10/21/1971,17.5
10/22/1971,15.66
10/23/1971,14.56
10/24/1971,28.57
10/25/1971,32.68
10/26/1971,24.04
10/27/1971,20.1
10/28/1971,288.6
10/29/1971,85.86
10/30/1971,49.43
10/31/1971,37.5
11/1/1971,30.57
11/2/1971,39.02
11/3/1971,224.5
11/4/1971,117.9
11/5/1971,222.1
11/6/1971,165.1
11/7/1971,87.21
11/8/1971,297.8
11/9/1971,109.2
11/10/1971,75.26
11/11/1971,61.37
11/12/1971,67.12
11/13/1971,55.7
11/14/1971,50.34
11/15/1971,47.18
11/16/1971,104.6
11/17/1971,223.7
11/18/1971,623.4
11/19/1971,124.6
11/20/1971,92.45
11/21/1971,106.5
11/22/1971,145
11/23/1971,100.4
11/24/1971,81.73
11/25/1971,72.42
11/26/1971,66.91
11/27/1971,63.53
11/28/1971,61.36
11/29/1971,59.9
11/30/1971,58.85
12/1/1971,58.53
12/2/1971,58.38
12/3/1971,58.26
12/4/1971,58.25
12/5/1971,77.46
12/6/1971,64.81
12/7/1971,61.87
12/8/1971,59.15
12/9/1971,57.66
12/10/1971,56.43
12/11/1971,55.4
12/12/1971,54.49
12/13/1971,54.04
12/14/1971,53.97
12/15/1971,58.68
12/16/1971,61.83
12/17/1971,292.1
12/18/1971,275
12/19/1971,111.9
12/20/1971,88.41
12/21/1971,76.04
12/22/1971,69.33
12/23/1971,68.65
12/24/1971,67.25
12/25/1971,68.13
12/26/1971,334.2
12/27/1971,107.9
12/28/1971,88.24
12/29/1971,82
12/30/1971,75.74
12/31/1971,69.65
1/1/1972,66.14
1/2/1972,64.32
1/3/1972,63.18
1/4/1972,66.91
1/5/1972,73.63
1/6/1972,71.54
1/7/1972,68.11
1/8/1972,185.6
1/9/1972,117.6
1/10/1972,84.25
1/11/1972,75.31
1/12/1972,73.71
